	count	mean	std_dev	min	25%	50%	75%	max
1535920000	79.0	0.5443037974683544	2.2060375682833926	0.0	0.0	0.0	0.0	15.0
1546440000	79.0	136.65822784810126	291.68203121769557	0.0	0.0	12.0	133.5	1955.0
1556960000	79.0	114.24050632911393	192.6157470990095	0.0	0.0	27.0	147.5	983.0
1567480000	79.0	71.41772151898734	110.79914926024139	0.0	0.0	18.0	99.5	518.0
1578000000	79.0	122.0506329113924	194.8310838895947	0.0	0.0	44.0	153.5	1202.0
1588520000	79.0	203.31645569620252	306.69326296195555	0.0	6.0	86.0	252.5	1605.0
1599040000	79.0	133.74683544303798	178.51168663563243	0.0	7.5	79.0	168.0	760.0
1609560000	79.0	141.55696202531647	240.35970623296242	0.0	0.0	79.0	160.5	1706.0
1620080000	79.0	181.91139240506328	344.43730365713935	0.0	2.5	115.0	192.0	2726.0
1630600000	79.0	237.60759493670886	455.22066831884325	0.0	3.5	145.0	282.0	3681.0
1641120000	79.0	217.46835443037975	443.267061812947	0.0	0.0	142.0	230.5	3559.0
1651640000	79.0	290.3164556962025	468.7714588402053	0.0	14.0	165.0	338.5	3415.0
1662160000	79.0	199.83544303797467	382.34285963965567	0.0	0.0	88.0	264.0	2715.0
1672680000	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
